_COLUMNS_,"Category:CODE,Category:NAME,ReferenceCategory:CODE,ReferenceCategory:NAME,AlternateNames:LIST"
311 Performance Reporting,311 Performance Reporting
311 Service Delivery,311 Service Delivery
AM-Community Paramedicine & Emergency Call Mitigation,AM-Community Paramedicine & Emergency Call Mitigation
AM-Emergency Medical Care,AM-Emergency Medical Care
ASD-Financial Reporting & Control,ASD-Financial Reporting & Control
ASD-Payment Processing,ASD-Payment Processing
ASD-SAP Governance,ASD-SAP Governance
ASD-Tax & Financial System Support,ASD-Tax & Financial System Support
BL-Building Compliance,BL-Building Compliance
BL-Building Permission & Information,BL-Building Permission & Information
Bike Share,Bike Share
Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care
CA-Environment & Energy,CA-Environment & Energy
CA-Facilities Management,CA-Facilities Management
CA-Real Estate,CA-Real Estate
CD-Community & Neighbourhood Development,CD-Community & Neighbourhood Development
CD-Community Partnership Investment Program,CD-Community Partnership Investment Program
CD-Financial Management & Program Support,CD-Financial Management & Program Support
CD-Social Policy & Planning,CD-Social Policy & Planning
CD-Toronto Office of Partnerships,CD-Toronto Office of Partnerships
"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights"
CM-Executive Management,CM-Executive Management
CM-Internal Auditing,CM-Internal Auditing
CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy
CM-Strategic Communications,CM-Strategic Communications
"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development"
CPF-Investment & Debt Management,CPF-Investment & Debt Management
CPF-Risk Management & Insurance,CPF-Risk Management & Insurance
CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution
Child Care Delivery,Child Care Delivery
Child Care System Management,Child Care System Management
Chronic Diseases & Injuries,Chronic Diseases & Injuries
City Building & Policy Development,City Building & Policy Development
Civil Litigation,Civil Litigation
Community Ice & Facility Booking,Community Ice & Facility Booking
"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings"
Corporate Accounts,Corporate Accounts
Corporate Leadership,Corporate Leadership
Corporate Leadership (DCM),Corporate Leadership (DCM)
Court Case Management,Court Case Management
Default Fine Collection Management,Default Fine Collection Management
"Development Review, Decision & Implementation","Development Review, Decision & Implementation"
EC-Business Services,EC-Business Services
EC-Cultural Services,EC-Cultural Services
EC-Economic Competitiveness Services,EC-Economic Competitiveness Services
Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care
Emergency Preparedness,Emergency Preparedness
Environmental Health,Environmental Health
Exhibition Place Asset Management,Exhibition Place Asset Management
Exhibition Place Parking Access,Exhibition Place Parking Access
Exhibitions & Events,Exhibitions & Events
F&A-Executive Leadership,F&A-Executive Leadership
F&A-Financial Management & Program Support,F&A-Financial Management & Program Support
F&A-Organizational Management Consulting,F&A-Organizational Management Consulting
FL-Fleet Management,FL-Fleet Management
FL-Fuel Management,FL-Fuel Management
FPD-Financial Planning & Management,FPD-Financial Planning & Management
FPD-Financial Reporting & Control,FPD-Financial Reporting & Control
FR-Disaster Response & Event Support,FR-Disaster Response & Event Support
"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement"
FR-Fire Safety Education,FR-Fire Safety Education
Family Health,Family Health
Fire Rescue & Emergency Response,Fire Rescue & Emergency Response
GV-Elect Government,GV-Elect Government
GV-Make Government Work,GV-Make Government Work
GV-Open Government,GV-Open Government
HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care
HR Employee & Labour Relations,HR Employee & Labour Relations
HR Employment Services,HR Employment Services
HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness
HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces
HS-Homeless and Housing First Solutions,HS-Homeless and Housing First Solutions
HS-Social Housing System Management,HS-Social Housing System Management
